"total","1762697570","0.5810501059864784"
"total","1762697575","0.5768999408090294"
"total","1762697580","0.8102184569887803"
"total","1762697585","0.7106560051684752"
"total","1762697590","0.7358657524515745"
"total","1762697595","0.7901008006426086"
"total","1762697600","0.8402855821192339"
"total","1762697605","0.8921138565138572"
"total","1762697610","0.7750987724435765"
"total","1762697615","0.8048210912525438"
"total","1762697620","0.7641687289282848"
"total","1762697625","0.8099040429887409"
"total","1762697630","0.5915654333333321"
"total","1762697635","0.6155784173831595"
"total","1762697640","0.5867677343394841"
"total","1762697645","0.5851732278361749"
"total","1762697650","0.5940447901969849"
"total","1762697655","0.6067337777777765"
"total","1762697660","0.6089916106968774"
"total","1762697665","0.3504211874999996"
"total","1762697670","0.3504211874999996"
"total","1762697675","0.3504211874999996"
